@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
46,10836,25,3659,382,0.905469,0.997698,0.747568,0.997698,0.252432,0.854709,0.972688,1.025712,0.060667
47,10836,25,3658,383,0.905221,0.997698,0.74762,0.997698,0.25238,0.854743,0.972621,1.025783,0.061
48,10836,25,3657,384,0.904974,0.997698,0.747671,0.997698,0.252329,0.854776,0.972554,1.025854,0.061333
49,10836,25,3656,385,0.904727,0.997698,0.747723,0.997698,0.252277,0.85481,0.972487,1.025925,0.062
50,10835,26,3646,395,0.902252,0.997606,0.748222,0.997606,0.251778,0.855102,0.971749,1.026609,0.064
51,10832,29,3641,400,0.901015,0.99733,0.748428,0.99733,0.251572,0.855135,0.971212,1.026892,0.065
52,10832,29,3640,401,0.900767,0.99733,0.74848,0.99733,0.25152,0.855169,0.971145,1.026963,0.066
53,10832,29,3618,423,0.895323,0.99733,0.749619,0.99733,0.250381,0.855912,0.969669,1.028527,0.068
54,10832,29,3603,438,0.891611,0.99733,0.750398,0.99733,0.249602,0.85642,0.968662,1.029595,0.069
55,10831,30,3603,438,0.891611,0.997238,0.750381,0.997238,0.249619,0.856375,0.968595,1.029572,0.07
56,10830,31,3592,449,0.888889,0.997146,0.750936,0.997146,0.249064,0.856702,0.96779,1.030333,0.071
57,10830,31,3591,450,0.888641,0.997146,0.750988,0.997146,0.249012,0.856736,0.967722,1.030405,0.072
58,10829,32,3579,462,0.885672,0.997054,0.751596,0.997054,0.248404,0.857098,0.96685,1.031239,0.0726
59,10829,32,3578,463,0.885424,0.997054,0.751649,0.997054,0.248351,0.857132,0.966783,1.031311,0.074
60,10828,33,3569,472,0.883197,0.996962,0.752101,0.996962,0.247899,0.857392,0.966112,1.031932,0.074467
61,10828,33,3568,473,0.88295,0.996962,0.752153,0.996962,0.247847,0.857426,0.966045,1.032003,0.0745
62,10828,33,3567,474,0.882702,0.996962,0.752206,0.996962,0.247794,0.85746,0.965978,1.032075,0.074667
63,10828,33,3566,475,0.882455,0.996962,0.752258,0.996962,0.247742,0.857494,0.965911,1.032147,0.0753
64,10828,33,3565,476,0.882207,0.996962,0.75231,0.996962,0.24769,0.857528,0.965844,1.032219,0.076
65,10828,33,3556,485,0.87998,0.996962,0.752781,0.996962,0.247219,0.857833,0.96524,1.032864,0.077333
66,10828,33,3555,486,0.879733,0.996962,0.752833,0.996962,0.247167,0.857867,0.965172,1.032936,0.078
67,10828,33,3543,498,0.876763,0.996962,0.753462,0.996962,0.246538,0.858275,0.964367,1.033799,0.078733
68,10828,33,3542,499,0.876516,0.996962,0.753514,0.996962,0.246486,0.858309,0.9643,1.033871,0.08
69,10827,34,3533,508,0.874289,0.99687,0.753969,0.99687,0.246031,0.85857,0.963629,1.034495,0.080333
70,10827,34,3532,509,0.874041,0.99687,0.754022,0.99687,0.245978,0.858604,0.963562,1.034567,0.082
71,10827,34,3525,516,0.872309,0.99687,0.75439,0.99687,0.24561,0.858843,0.963092,1.035072,0.083333
72,10827,34,3524,517,0.872061,0.99687,0.754442,0.99687,0.245558,0.858877,0.963025,1.035144,0.084
73,10825,36,3513,528,0.869339,0.996685,0.754987,0.996685,0.245013,0.859161,0.962153,1.035891,0.0845
74,10825,36,3512,529,0.869092,0.996685,0.755039,0.996685,0.244961,0.859195,0.962086,1.035963,0.086
75,10825,36,3511,530,0.868844,0.996685,0.755092,0.996685,0.244908,0.859229,0.962019,1.036036,0.086
76,10823,38,3501,540,0.86637,0.996501,0.755585,0.996501,0.244415,0.85948,0.961213,1.036712,0.088
77,10822,39,3493,548,0.86439,0.996409,0.75599,0.996409,0.24401,0.859708,0.960609,1.037268,0.088667
78,10822,39,3492,549,0.864143,0.996409,0.756043,0.996409,0.243957,0.859742,0.960542,1.03734,0.09
79,10820,41,3482,559,0.861668,0.996225,0.756538,0.996225,0.243462,0.859993,0.959737,1.038019,0.091267
80,10820,41,3481,560,0.86142,0.996225,0.75659,0.996225,0.24341,0.860027,0.95967,1.038091,0.091667
81,10820,41,3480,561,0.861173,0.996225,0.756643,0.996225,0.243357,0.860061,0.959603,1.038164,0.092
82,10819,42,3472,569,0.859193,0.996133,0.75705,0.996133,0.24295,0.860289,0.958999,1.038722,0.0935
83,10818,43,3472,569,0.859193,0.996041,0.757033,0.996041,0.242967,0.860244,0.958932,1.038698,0.094
84,10816,45,3458,583,0.855729,0.995857,0.757741,0.995857,0.242259,0.860633,0.957858,1.039671,0.094533
85,10816,45,3457,584,0.855481,0.995857,0.757794,0.995857,0.242206,0.860667,0.957791,1.039743,0.095
86,10816,45,3456,585,0.855234,0.995857,0.757848,0.995857,0.242152,0.860701,0.957724,1.039816,0.096
87,10816,45,3445,596,0.852512,0.995857,0.758432,0.995857,0.241568,0.861078,0.956986,1.040618,0.0968
88,10816,45,3444,597,0.852264,0.995857,0.758485,0.995857,0.241515,0.861112,0.956919,1.040691,0.098
89,10816,45,3428,613,0.848305,0.995857,0.759337,0.995857,0.240663,0.861661,0.955845,1.04186,0.1
90,10814,47,3419,622,0.846078,0.995673,0.759784,0.995673,0.240216,0.861879,0.955107,1.042473,0.101067
91,10813,48,3419,622,0.846078,0.995581,0.759767,0.995581,0.240233,0.861834,0.95504,1.042449,0.102
92,10813,48,3412,629,0.844345,0.995581,0.760141,0.995581,0.239859,0.862074,0.95457,1.042962,0.104
93,10813,48,3397,644,0.840634,0.995581,0.760943,0.995581,0.239057,0.86259,0.953563,1.044063,0.106
94,10813,48,3387,654,0.838159,0.995581,0.761479,0.995581,0.238521,0.862934,0.952892,1.044799,0.108
95,10813,48,3375,666,0.835189,0.995581,0.762123,0.995581,0.237877,0.863348,0.952087,1.045682,0.108667
96,10813,48,3374,667,0.834942,0.995581,0.762177,0.995581,0.237823,0.863382,0.95202,1.045756,0.11
97,10811,50,3363,678,0.83222,0.995396,0.762735,0.995396,0.237265,0.863671,0.951147,1.046522,0.111
98,10811,50,3362,679,0.831972,0.995396,0.762788,0.995396,0.237212,0.863705,0.95108,1.046595,0.112
99,10808,53,3348,693,0.828508,0.99512,0.763493,0.99512,0.236507,0.864052,0.94994,1.047561,0.112667
100,10808,53,3347,694,0.82826,0.99512,0.763546,0.99512,0.236454,0.864087,0.949873,1.047636,0.114
101,10804,57,3339,702,0.826281,0.994752,0.763911,0.994752,0.236089,0.864182,0.949067,1.048136,0.116
102,10802,59,3328,713,0.823559,0.994568,0.764473,0.994568,0.235527,0.864471,0.948195,1.048906,0.118
103,10801,60,3320,721,0.821579,0.994476,0.764889,0.994476,0.235111,0.864703,0.947591,1.049478,0.12
104,10800,61,3311,730,0.819352,0.994384,0.76536,0.994384,0.23464,0.864969,0.94692,1.050124,0.1205
105,10800,61,3310,731,0.819104,0.994384,0.765415,0.994384,0.234585,0.865003,0.946853,1.050199,0.121
106,10800,61,3309,732,0.818857,0.994384,0.765469,0.994384,0.234531,0.865038,0.946786,1.050273,0.122
107,10795,66,3298,743,0.816135,0.993923,0.765983,0.993923,0.234017,0.865192,0.945712,1.050979,0.124
108,10794,67,3287,754,0.813413,0.993831,0.766565,0.993831,0.233435,0.865528,0.944907,1.051777,0.125333
109,10794,67,3286,755,0.813165,0.993831,0.766619,0.993831,0.233381,0.865563,0.94484,1.051852,0.126
110,10793,68,3280,761,0.81168,0.993739,0.76693,0.993739,0.23307,0.865726,0.94437,1.052277,0.127
111,10792,69,3280,761,0.81168,0.993647,0.766913,0.993647,0.233087,0.86568,0.944303,1.052255,0.128
112,10791,70,3269,772,0.808958,0.993555,0.767496,0.993555,0.232504,0.866017,0.943498,1.053055,0.13
113,10787,74,3263,778,0.807473,0.993187,0.767758,0.993187,0.232242,0.866043,0.942826,1.053414,0.1305
114,10787,74,3262,779,0.807226,0.993187,0.767813,0.993187,0.232187,0.866078,0.942759,1.053489,0.130667
115,10787,74,3261,780,0.806978,0.993187,0.767867,0.993187,0.232133,0.866113,0.942692,1.053564,0.132
116,10784,77,3246,795,0.803267,0.99291,0.768639,0.99291,0.231361,0.866498,0.941484,1.054622,0.1328
117,10784,77,3245,796,0.803019,0.99291,0.768693,0.99291,0.231307,0.866533,0.941417,1.054697,0.133
118,10784,77,3244,797,0.802772,0.99291,0.768748,0.99291,0.231252,0.866568,0.94135,1.054773,0.133167
119,10784,77,3243,798,0.802524,0.99291,0.768803,0.99291,0.231197,0.866602,0.941283,1.054848,0.134
120,10780,81,3239,802,0.801534,0.992542,0.768956,0.992542,0.231044,0.866559,0.940746,1.055058,0.134524
121,10780,81,3238,803,0.801287,0.992542,0.769011,0.992542,0.230989,0.866594,0.940679,1.055134,0.135167
122,10779,82,3238,803,0.801287,0.99245,0.768995,0.99245,0.231005,0.866549,0.940612,1.055111,0.136
123,10777,84,3232,809,0.799802,0.992266,0.769291,0.992266,0.230709,0.866667,0.940075,1.055518,0.137
124,10777,84,3230,811,0.799307,0.992266,0.769401,0.992266,0.230599,0.866736,0.939941,1.055668,0.138
125,10776,85,3224,817,0.797822,0.992174,0.769714,0.992174,0.230286,0.8669,0.939471,1.056098,0.14
126,10773,88,3212,829,0.794853,0.991898,0.770325,0.991898,0.229675,0.867182,0.938465,1.056937,0.1404
127,10773,88,3211,830,0.794605,0.991898,0.77038,0.991898,0.22962,0.867217,0.938398,1.057012,0.1415
128,10773,88,3210,831,0.794358,0.991898,0.770436,0.991898,0.229564,0.867252,0.93833,1.057088,0.142
129,10771,90,3199,842,0.791636,0.991713,0.771009,0.991713,0.228991,0.867545,0.937458,1.057875,0.143
130,10771,90,3198,843,0.791388,0.991713,0.771064,0.991713,0.228936,0.86758,0.937391,1.057951,0.144
131,10769,92,3191,850,0.789656,0.991529,0.771418,0.991529,0.228582,0.867733,0.936787,1.058436,0.144667
132,10769,92,3190,851,0.789409,0.991529,0.771474,0.991529,0.228526,0.867768,0.93672,1.058512,0.144667
133,10769,92,3189,852,0.789161,0.991529,0.771529,0.991529,0.228471,0.867803,0.936653,1.058588,0.145
134,10769,92,3188,853,0.788914,0.991529,0.771584,0.991529,0.228416,0.867838,0.936586,1.058664,0.145333
135,10769,92,3187,854,0.788666,0.991529,0.771639,0.991529,0.228361,0.867873,0.936519,1.05874,0.146
136,10768,93,3169,872,0.784212,0.991437,0.77262,0.991437,0.22738,0.868457,0.935244,1.060085,0.147
137,10768,93,3168,873,0.783964,0.991437,0.772675,0.991437,0.227325,0.868492,0.935176,1.060161,0.147667
138,10768,93,3167,874,0.783717,0.991437,0.772731,0.991437,0.227269,0.868527,0.935109,1.060237,0.148
139,10765,96,3155,886,0.780747,0.991161,0.773348,0.991161,0.226652,0.868811,0.934103,1.061083,0.149667
140,10765,96,3154,887,0.7805,0.991161,0.773403,0.991161,0.226597,0.868846,0.934036,1.06116,0.15
141,10764,97,3151,890,0.779757,0.991069,0.773554,0.991069,0.226446,0.868905,0.933767,1.061366,0.151167
142,10764,97,3150,891,0.77951,0.991069,0.773609,0.991069,0.226391,0.86894,0.9337,1.061442,0.152
143,10761,100,3137,904,0.776293,0.990793,0.774284,0.990793,0.225716,0.86926,0.932626,1.062368,0.152333
144,10761,100,3136,905,0.776046,0.990793,0.77434,0.990793,0.22566,0.869295,0.932559,1.062445,0.1525
145,10761,100,3135,906,0.775798,0.990793,0.774396,0.990793,0.225604,0.86933,0.932492,1.062521,0.154
146,10759,102,3120,921,0.772086,0.990609,0.7752,0.990609,0.2248,0.869766,0.931351,1.063625,0.156
147,10758,103,3115,926,0.770849,0.990517,0.775463,0.990517,0.224537,0.869896,0.930949,1.063986,0.158
148,10757,104,3106,935,0.768622,0.990424,0.77595,0.990424,0.22405,0.870167,0.930278,1.064654,0.158611
149,10757,104,3105,936,0.768374,0.990424,0.776006,0.990424,0.223994,0.870202,0.930211,1.064731,0.16
150,10756,105,3100,941,0.767137,0.990332,0.77627,0.990332,0.22373,0.870332,0.929808,1.065093,0.161
151,10756,105,3099,942,0.766889,0.990332,0.776326,0.990332,0.223674,0.870367,0.929741,1.06517,0.162
152,10753,108,3094,947,0.765652,0.990056,0.776558,0.990056,0.223442,0.870406,0.929204,1.065488,0.164
153,10751,110,3086,955,0.763672,0.989872,0.776975,0.989872,0.223025,0.870597,0.928533,1.06606,0.1655
154,10751,110,3085,956,0.763425,0.989872,0.777031,0.989872,0.222969,0.870632,0.928466,1.066137,0.166
155,10751,110,3075,966,0.76095,0.989872,0.777593,0.989872,0.222407,0.870985,0.927795,1.066908,0.168
156,10751,110,3065,976,0.758476,0.989872,0.778156,0.989872,0.221844,0.871338,0.927124,1.06768,0.169
