@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
52,3979,62,8052,2809,0.741368,0.984657,0.330729,0.984657,0.669271,0.495147,0.807341,1.21963,0.0144
53,3979,62,8051,2810,0.741276,0.984657,0.330756,0.984657,0.669244,0.495178,0.807274,1.219731,0.014833
54,3979,62,8050,2811,0.741184,0.984657,0.330784,0.984657,0.669216,0.495208,0.807207,1.219832,0.015
55,3979,62,8047,2814,0.740908,0.984657,0.330866,0.984657,0.669134,0.495301,0.807006,1.220137,0.015333
56,3979,62,8046,2815,0.740816,0.984657,0.330894,0.984657,0.669106,0.495332,0.806939,1.220238,0.016
57,3972,69,7902,2959,0.727557,0.982925,0.334512,0.982925,0.665488,0.499152,0.796806,1.233582,0.017
58,3972,69,7900,2961,0.727373,0.982925,0.334569,0.982925,0.665431,0.499214,0.796672,1.233789,0.017333
59,3972,69,7899,2962,0.727281,0.982925,0.334597,0.982925,0.665403,0.499246,0.796604,1.233893,0.018
60,3968,73,7769,3092,0.715312,0.981935,0.338076,0.981935,0.661924,0.502979,0.787612,1.246724,0.0181
61,3968,73,7768,3093,0.71522,0.981935,0.338105,0.981935,0.661895,0.503011,0.787545,1.24683,0.018333
62,3968,73,7766,3095,0.715035,0.981935,0.338163,0.981935,0.661837,0.503074,0.787411,1.247043,0.018333
63,3968,73,7765,3096,0.714943,0.981935,0.338191,0.981935,0.661809,0.503106,0.787344,1.247149,0.018571
64,3968,73,7764,3097,0.714851,0.981935,0.33822,0.981935,0.66178,0.503138,0.787277,1.247255,0.019
65,3968,73,7763,3098,0.714759,0.981935,0.338249,0.981935,0.661751,0.50317,0.78721,1.247362,0.019167
66,3968,73,7762,3099,0.714667,0.981935,0.338278,0.981935,0.661722,0.503202,0.787143,1.247468,0.02
67,3957,84,7636,3225,0.703066,0.979213,0.341327,0.979213,0.658673,0.506204,0.777949,1.258711,0.020667
68,3957,84,7635,3226,0.702974,0.979213,0.341356,0.979213,0.658644,0.506237,0.777882,1.258819,0.021
69,3957,84,7634,3227,0.702882,0.979213,0.341386,0.979213,0.658614,0.506269,0.777815,1.258928,0.022
70,3954,87,7500,3361,0.690544,0.978471,0.345207,0.978471,0.654793,0.510358,0.768622,1.27302,0.0221
71,3954,87,7499,3362,0.690452,0.978471,0.345237,0.978471,0.654763,0.510391,0.768555,1.273131,0.0225
72,3954,87,7498,3363,0.69036,0.978471,0.345267,0.978471,0.654733,0.510424,0.768487,1.273242,0.022633
73,3954,87,7497,3364,0.690268,0.978471,0.345297,0.978471,0.654703,0.510457,0.76842,1.273353,0.022667
74,3954,87,7495,3366,0.690084,0.978471,0.345358,0.978471,0.654642,0.510523,0.768286,1.273576,0.023
75,3954,87,7493,3368,0.6899,0.978471,0.345418,0.978471,0.654582,0.510589,0.768152,1.273798,0.023333
76,3954,87,7491,3370,0.689715,0.978471,0.345478,0.978471,0.654522,0.510655,0.768018,1.274021,0.023714
77,3954,87,7490,3371,0.689623,0.978471,0.345509,0.978471,0.654491,0.510688,0.767951,1.274132,0.024
78,3947,94,7370,3491,0.678575,0.976738,0.348767,0.976738,0.651233,0.513999,0.759428,1.28615,0.024067
79,3947,94,7369,3492,0.678483,0.976738,0.348798,0.976738,0.651202,0.514033,0.759361,1.286263,0.024329
80,3947,94,7368,3493,0.678391,0.976738,0.348829,0.976738,0.651171,0.514066,0.759294,1.286377,0.024667
81,3947,94,7367,3494,0.678298,0.976738,0.34886,0.976738,0.65114,0.5141,0.759227,1.286491,0.024667
82,3947,94,7366,3495,0.678206,0.976738,0.348891,0.976738,0.651109,0.514133,0.75916,1.286604,0.024933
83,3947,94,7365,3496,0.678114,0.976738,0.348921,0.976738,0.651079,0.514167,0.759093,1.286718,0.025
84,3946,95,7364,3497,0.678022,0.976491,0.348895,0.976491,0.651105,0.514103,0.758959,1.28662,0.025333
85,3945,96,7364,3497,0.678022,0.976244,0.348837,0.976244,0.651163,0.514007,0.758891,1.286407,0.025833
86,3945,96,7362,3499,0.677838,0.976244,0.348899,0.976244,0.651101,0.514073,0.758757,1.286635,0.026
87,3940,101,7256,3605,0.668078,0.975006,0.351911,0.975006,0.648089,0.517162,0.751309,1.297744,0.0265
88,3940,101,7255,3606,0.667986,0.975006,0.351943,0.975006,0.648057,0.517196,0.751241,1.29786,0.026667
89,3940,101,7254,3607,0.667894,0.975006,0.351974,0.975006,0.648026,0.51723,0.751174,1.297976,0.0275
90,3939,102,7254,3607,0.667894,0.974759,0.351916,0.974759,0.648084,0.517133,0.751107,1.297762,0.028
91,3930,111,7129,3732,0.656385,0.972532,0.355367,0.972532,0.644633,0.52053,0.742115,1.310486,0.028667
92,3930,111,7128,3733,0.656293,0.972532,0.355399,0.972532,0.644601,0.520564,0.742048,1.310605,0.029033
93,3930,111,7127,3734,0.656201,0.972532,0.355431,0.972532,0.644569,0.520599,0.741981,1.310723,0.0292
94,3930,111,7126,3735,0.656109,0.972532,0.355463,0.972532,0.644537,0.520633,0.741914,1.310842,0.029833
95,3930,111,7125,3736,0.656017,0.972532,0.355495,0.972532,0.644505,0.520668,0.741847,1.31096,0.03
96,3923,118,7021,3840,0.646441,0.970799,0.358461,0.970799,0.641539,0.52359,0.734398,1.321898,0.030667
97,3923,118,7020,3841,0.646349,0.970799,0.358494,0.970799,0.641506,0.523625,0.734331,1.322019,0.031
98,3923,118,7019,3842,0.646257,0.970799,0.358527,0.970799,0.641473,0.52366,0.734264,1.32214,0.031333
99,3923,118,7018,3843,0.646165,0.970799,0.35856,0.970799,0.64144,0.523695,0.734197,1.32226,0.0314
100,3923,118,7017,3844,0.646073,0.970799,0.358592,0.970799,0.641408,0.52373,0.73413,1.322381,0.031714
101,3923,118,7016,3845,0.645981,0.970799,0.358625,0.970799,0.641375,0.523765,0.734063,1.322502,0.032
102,3917,124,6909,3952,0.636129,0.969315,0.361814,0.969315,0.638186,0.526939,0.72648,1.334262,0.032133
103,3917,124,6908,3953,0.636037,0.969315,0.361848,0.969315,0.638152,0.526974,0.726413,1.334386,0.0324
104,3917,124,6907,3954,0.635945,0.969315,0.361881,0.969315,0.638119,0.52701,0.726345,1.334509,0.032667
105,3917,124,6906,3955,0.635853,0.969315,0.361914,0.969315,0.638086,0.527045,0.726278,1.334632,0.033
106,3916,125,6905,3956,0.635761,0.969067,0.361889,0.969067,0.638111,0.526982,0.726144,1.334538,0.033333
107,3915,126,6904,3957,0.635669,0.96882,0.361863,0.96882,0.638137,0.526918,0.72601,1.334444,0.0335
108,3915,126,6903,3958,0.635577,0.96882,0.361897,0.96882,0.638103,0.526953,0.725943,1.334567,0.034
109,3911,130,6791,4070,0.625265,0.96783,0.365446,0.96783,0.634554,0.530557,0.718159,1.347655,0.0345
110,3911,130,6790,4071,0.625173,0.96783,0.36548,0.96783,0.63452,0.530593,0.718092,1.34778,0.035
111,3911,130,6787,4074,0.624896,0.96783,0.365582,0.96783,0.634418,0.530701,0.71789,1.348158,0.035762
