@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 255\nSize of the tree: 509\n','Number of leaves: 284\nSize of the tree: 567\n','Number of leaves: 289\nSize of the tree: 577\n','Number of leaves: 279\nSize of the tree: 557\n','Number of leaves: 245\nSize of the tree: 489\n','Number of leaves: 277\nSize of the tree: 553\n','Number of leaves: 292\nSize of the tree: 583\n','Number of leaves: 263\nSize of the tree: 525\n','Number of leaves: 254\nSize of the tree: 507\n','Number of leaves: 249\nSize of the tree: 497\n','Number of leaves: 285\nSize of the tree: 569\n','Number of leaves: 305\nSize of the tree: 609\n','Number of leaves: 301\nSize of the tree: 601\n','Number of leaves: 270\nSize of the tree: 539\n','Number of leaves: 250\nSize of the tree: 499\n','Number of leaves: 306\nSize of the tree: 611\n','Number of leaves: 265\nSize of the tree: 529\n','Number of leaves: 264\nSize of the tree: 527\n','Number of leaves: 266\nSize of the tree: 531\n','Number of leaves: 252\nSize of the tree: 503\n','Number of leaves: 294\nSize of the tree: 587\n','Number of leaves: 256\nSize of the tree: 511\n','Number of leaves: 243\nSize of the tree: 485\n','Number of leaves: 320\nSize of the tree: 639\n','Number of leaves: 241\nSize of the tree: 481\n','Number of leaves: 244\nSize of the tree: 487\n','Number of leaves: 278\nSize of the tree: 555\n','Number of leaves: 267\nSize of the tree: 533\n','Number of leaves: 273\nSize of the tree: 545\n','Number of leaves: 271\nSize of the tree: 541\n','Number of leaves: 299\nSize of the tree: 597\n','Number of leaves: 276\nSize of the tree: 551\n','Number of leaves: 231\nSize of the tree: 461\n','Number of leaves: 247\nSize of the tree: 493\n','Number of leaves: 286\nSize of the tree: 571\n','Number of leaves: 272\nSize of the tree: 543\n','Number of leaves: 269\nSize of the tree: 537\n','Number of leaves: 281\nSize of the tree: 561\n','Number of leaves: 282\nSize of the tree: 563\n','Number of leaves: 253\nSize of the tree: 505\n','Number of leaves: 240\nSize of the tree: 479\n','Number of leaves: 302\nSize of the tree: 603\n','Number of leaves: 283\nSize of the tree: 565\n','Number of leaves: 275\nSize of the tree: 549\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 234\nSize of the tree: 467\n','Number of leaves: 220\nSize of the tree: 439\n','Number of leaves: 309\nSize of the tree: 617\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 257\nSize of the tree: 513\n','Number of leaves: 297\nSize of the tree: 593\n','Number of leaves: 327\nSize of the tree: 653\n','Number of leaves: 239\nSize of the tree: 477\n','Number of leaves: 298\nSize of the tree: 595\n','Number of leaves: 268\nSize of the tree: 535\n','Number of leaves: 290\nSize of the tree: 579\n','Number of leaves: 251\nSize of the tree: 501\n','Number of leaves: 233\nSize of the tree: 465\n','Number of leaves: 291\nSize of the tree: 581\n','Number of leaves: 235\nSize of the tree: 469\n','Number of leaves: 324\nSize of the tree: 647\n','Number of leaves: 296\nSize of the tree: 591\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

R_data_frame,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13412,1490,1086,404,0,72.885906,27.114094,0,0,0.395278,0.444549,100,100,1256.214634,1256.214634,0,0.843097,0.843097,0,0,0,0,1,1086,1,404,0,0,0,0,0.728859,1,0.843168,?,0.5,0.728859,0.728859,0.728859,0.271141,0.271141,?,0.728859,?,?,0.5,0.604753,?,0.728859,0.002,0.001,0,0,0,0,901,1356121,151999,100,100,?,?,?,?,?,?,?
R_data_frame,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13412,1490,1086,404,0,72.885906,27.114094,0,0,0.395278,0.444549,100,100,1256.214634,1256.214634,0,0.843097,0.843097,0,0,0,0,1,1086,1,404,0,0,0,0,0.728859,1,0.843168,?,0.5,0.728859,0.728859,0.728859,0.271141,0.271141,?,0.728859,?,?,0.5,0.604753,?,0.728859,0,0.001,0,0,0,0,901,1356121,151999,100,100,?,?,?,?,?,?,?
R_data_frame,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13412,1490,1086,404,0,72.885906,27.114094,0,0,0.395278,0.444549,100,100,1256.214634,1256.214634,0,0.843097,0.843097,0,0,0,0,1,1086,1,404,0,0,0,0,0.728859,1,0.843168,?,0.5,0.728859,0.728859,0.728859,0.271141,0.271141,?,0.728859,?,?,0.5,0.604753,?,0.728859,0,0.001,0,0,0,0,901,1356121,151999,100,100,?,?,?,?,?,?,?
R_data_frame,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13412,1490,1086,404,0,72.885906,27.114094,0,0,0.395278,0.444549,100,100,1256.214634,1256.214634,0,0.843097,0.843097,0,0,0,0,1,1086,1,404,0,0,0,0,0.728859,1,0.843168,?,0.5,0.728859,0.728859,0.728859,0.271141,0.271141,?,0.728859,?,?,0.5,0.604753,?,0.728859,0,0.001,0,0,0,0,901,1356121,151999,100,100,?,?,?,?,?,?,?
R_data_frame,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13412,1490,1086,404,0,72.885906,27.114094,0,0,0.395278,0.444549,100,100,1256.214634,1256.214634,0,0.843097,0.843097,0,0,0,0,1,1086,1,404,0,0,0,0,0.728859,1,0.843168,?,0.5,0.728859,0.728859,0.728859,0.271141,0.271141,?,0.728859,?,?,0.5,0.604753,?,0.728859,0,0.001,0,0,0,0,901,1356121,151999,100,100,?,?,?,?,?,?,?
R_data_frame,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13412,1490,1086,404,0,72.885906,27.114094,0,0,0.395278,0.444549,100,100,1256.214634,1256.214634,0,0.843097,0.843097,0,0,0,0,1,1086,1,404,0,0,0,0,0.728859,1,0.843168,?,0.5,0.728859,0.728859,0.728859,0.271141,0.271141,?,0.728859,?,?,0.5,0.604753,?,0.728859,0.001,0.001,0.015625,0,15.625,0,901,1356121,151999,100,100,?,?,?,?,?,?,?
R_data_frame,2,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13412,1490,1086,404,0,72.885906,27.114094,0,0,0.395278,0.444549,100,100,1256.214634,1256.214634,0,0.843097,0.843097,0,0,0,0,1,1086,1,404,0,0,0,0,0.728859,1,0.843168,?,0.5,0.728859,0.728859,0.728859,0.271141,0.271141,?,0.728859,?,?,0.5,0.604753,?,0.728859,0.001,0.001,0,0,0,0,901,1356121,151999,100,100,?,?,?,?,?,?,?
R_data_frame,3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13411,1491,1087,404,0,72.904091,27.095909,0,0,0.395204,0.444455,100,100,1256.671115,1256.671115,0,0.842838,0.842838,0,0,0,0,1,1087,1,404,0,0,0,0,0.729041,1,0.843289,?,0.5,0.729041,0.729041,0.729041,0.270959,0.270959,?,0.729041,?,?,0.5,0.604919,?,0.729041,0.001,0.001,0,0,0,0,901,1356020,152100,100,100,?,?,?,?,?,?,?
R_data_frame,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13411,1491,1086,405,0,72.837022,27.162978,0,0,0.395477,0.4448,100,100,1258.097421,1258.097421,0,0.843794,0.843794,0,0,0,0,1,1086,1,405,0,0,0,0,0.72837,1,0.842841,?,0.5,0.72837,0.72837,0.72837,0.27163,0.27163,?,0.72837,?,?,0.5,0.604306,?,0.72837,0.001,0.001,0,0,0,0,901,1356020,152100,100,100,?,?,?,?,?,?,?
R_data_frame,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20221031.2051,13412,1490,1086,404,0,72.885906,27.114094,0,0,0.395278,0.444549,100,100,1256.214634,1256.214634,0,0.843097,0.843097,0,0,0,0,1,1086,1,404,0,0,0,0,0.728859,1,0.843168,?,0.5,0.728859,0.728859,0.728859,0.271141,0.271141,?,0.728859,?,?,0.5,0.604753,?,0.728859,0,0.001,0,0,0,0,901,1356121,151999,100,100,?,?,?,?,?,?,?
